#,Champion,Games,Wins,Losses,Winrate,Kill,Death,Assist,KDA,Gold,CS,Double Kill,Triple Kill,Quadra Kill,Penta Kill,Max Kills,Max Deaths,Average Damage Dealt,Average Damage Taken
134,Senna,11,4,7,36.36,4.09,5.92,11.39,2.62,9341.5,40.85,1,0,0,0,8,9,47149.5,16302.0
135,Udyr,10,3,7,30.0,2.92,5.02,8.94,2.36,9275.75,130.25,2,0,0,0,7,9,120393.75,29536.75
136,Zeri,8,6,2,75.0,7.1,3.1,7.4,4.68,11926.0,196.5,10,1,0,0,13,7,133767.0,14487.0
137,Brand,8,5,3,62.5,6.5,5.28,14.25,3.93,10904.33,63.27,2,0,0,0,10,8,55138.67,15122.33
138,Taric,8,5,3,62.5,1.38,3.5,13.89,4.36,8159.0,73.37,1,0,0,0,4,7,35420.67,17599.67
139,Illaoi,8,2,6,25.0,3.03,6.36,3.89,1.09,9514.75,183.85,2,0,0,0,11,11,124244.0,28427.5
140,Lux,7,5,2,71.43,5.14,4.43,9.86,3.39,12321.83,193.83,1,0,0,0,11,9,155439.17,11791.33
141,Malphite,7,5,2,71.43,2.86,2.89,8.0,3.76,9585.33,168.17,1,0,0,0,6,5,94054.0,14443.67
142,Heimerdinger,7,4,3,57.14,4.57,4.29,7.14,2.73,10900.33,191.2,2,0,0,0,8,9,150587.0,13555.0
143,Amumu,7,3,4,42.86,3.16,5.27,12.99,3.06,10384.5,67.62,0,0,0,0,13,11,108153.5,26829.25
144,Garen,7,3,4,42.86,5.71,3.6,7.0,3.53,10647.33,191.77,2,0,0,0,9,7,105622.67,24376.67
145,Rammus,7,2,5,28.57,3.13,5.87,11.84,2.55,11100.67,135.9,0,0,0,0,4,15,109815.67,35204.0
146,Jinx,6,4,2,66.67,6.52,3.5,8.33,4.24,13516.0,237.43,3,0,0,0,8,6,174448.67,16699.0
147,Zyra,6,4,2,66.67,3.17,5.0,10.5,2.73,8798.5,32.7,0,0,0,0,5,8,40224.0,15939.5
148,Janna,6,1,5,16.67,2.15,4.52,9.68,2.62,7280.75,38.42,0,0,0,0,5,7,28438.0,11063.0
149,Kayn,6,0,6,0.0,5.03,6.17,2.37,1.2,7762.0,114.4,1,1,0,0,17,8,69521.0,21659.5
150,Rell,6,0,6,0.0,0.67,4.83,5.5,1.28,5221.0,28.3,0,0,0,0,2,6,15064.5,14363.0
151,Samira,5,2,3,40.0,5.6,3.0,3.82,3.14,13758.67,252.9,5,1,0,0,22,5,169589.67,20088.67
152,Maokai,4,2,2,50.0,3.25,3.75,7.25,2.8,8381.5,124.5,0,0,0,0,5,5,104209.25,24524.0
153,Shyvana,4,2,2,50.0,4.75,2.0,4.0,4.38,10871.75,146.75,1,0,0,0,8,4,148520.75,24453.75
154,Bel'Veth,4,1,3,25.0,4.5,5.25,3.75,1.57,10178.5,148.85,1,0,0,0,9,6,139198.5,20830.5
155,Nami,4,1,3,25.0,1.48,3.75,11.77,3.53,8743.0,16.15,0,0,0,0,3,5,19750.5,14238.0
156,Warwick,4,1,3,25.0,3.5,5.5,4.5,1.45,8980.67,99.0,0,0,0,0,8,8,100424.0,27641.67
157,Yuumi,4,1,3,25.0,2.0,5.0,12.5,2.9,7731.0,13.67,1,0,0,0,3,6,16631.67,9948.0
158,Draven,2,2,0,100.0,8.0,3.0,6.0,4.67,11245.5,168.0,2,0,0,0,9,3,90089.5,12921.5
159,Teemo,2,0,2,0.0,5.0,5.0,1.0,1.2,9144.0,173.0,0,0,0,0,6,6,92442.0,14868.0
160,Milio,1,0,1,0.0,1.0,7.0,6.0,1.0,6869.0,43.0,0,0,0,0,1,7,16709.0,19106.0
